0.9999999999999998 + 0.0im
1.0 - 3.3354125420508087e-19im
1.0000000000000007 + 7.922682441138409e-19im
1.000000000000001 + 3.260343644422504e-20im
1.0000000000000002 - 1.3597340606700357e-18im
0.9999999999999996 + 9.852369174646409e-19im
0.9999999999999993 - 1.4404596873197606e-18im
1.0000000000000009 - 8.479417824778799e-19im
1.000000000000001 + 2.718920113309311e-18im
1.000000000000003 + 2.2922493360550218e-18im
1.0000000000000047 - 1.7106642723462106e-18im
1.0000000000000087 + 6.980517411478296e-19im
1.000000000000008 - 1.3619001007474093e-19im
1.0000000000000093 - 6.095376205782769e-19im
1.0000000000000122 - 2.654188323963786e-18im
1.000000000000015 - 2.3385088834813683e-18im
1.0000000000000164 - 1.6328400770860968e-18im
1.0000000000000182 + 4.753625321902782e-18im
1.0000000000000182 + 2.2497888957414994e-18im
1.000000000000023 + 1.734849450605478e-18im
1.0000000000000218 + 2.1137638850095814e-18im
1.0000000000000226 + 1.78985690945813e-19im
1.000000000000024 - 4.227218427045787e-18im
1.0000000000000233 - 5.73359038968494e-18im
1.000000000000024 - 2.282546658672729e-18im
1.000000000000026 + 1.9584564912050738e-18im
1.0000000000000258 - 6.313798651677015e-19im
1.0000000000000253 + 2.5243408494353465e-18im
1.0000000000000242 - 5.451319483017388e-18im
1.0000000000000244 + 2.884146024517333e-18im
1.0000000000000255 + 5.903840222631915e-18im
1.0000000000000269 - 3.330242086798297e-18im
1.000000000000029 + 3.721418528577993e-18im
1.0000000000000298 - 3.876173921424683e-18im
1.000000000000032 + 1.1236021280357652e-18im
1.0000000000000349 - 6.375338943764371e-19im
1.000000000000036 + 3.1412693661242788e-18im
1.0000000000000355 - 1.1470933111963526e-17im
1.000000000000038 - 1.0553724481548877e-17im
1.0000000000000406 - 7.504883388275259e-18im
1.0000000000000406 - 4.051581421089067e-18im
1.0000000000000413 + 6.478986336184664e-19im
1.00000000000004 - 1.3849714753177827e-17im
1.0000000000000397 + 1.2896657491002504e-17im
1.00000000000004 + 8.687334202540307e-18im
1.00000000000004 + 2.8118710853957302e-18im
1.0000000000000422 + 1.2472009200854192e-17im
1.0000000000000435 + 5.517144468111406e-18im
1.0000000000000444 - 4.2827354794754654e-18im
1.0000000000000446 + 1.1046453421443694e-18im
1.0000000000000462 - 9.265399756645215e-18im
1.0000000000000488 - 1.0456118633189536e-17im
1.0000000000000493 - 9.08097690900122e-18im
1.000000000000047 - 7.134614777695169e-18im
1.0000000000000475 + 2.9618830598404413e-18im
1.0000000000000462 - 5.4579696837579064e-18im
1.0000000000000482 + 6.362016594328342e-18im
1.0000000000000486 - 1.2071431715003029e-17im
1.0000000000000495 + 1.3706964331731528e-17im
1.0000000000000528 - 3.5970249970697595e-18im
1.0000000000000546 - 1.6166629876963714e-18im
1.0000000000000555 + 7.246392077222923e-18im
1.000000000000059 + 1.195018069880646e-17im
1.0000000000000597 - 3.0240795808761458e-18im
1.0000000000000582 + 3.8277787852197765e-18im
1.000000000000056 + 5.208310519278597e-18im
1.0000000000000528 - 3.4511019221054466e-18im
1.0000000000000517 + 5.311578134722282e-18im
1.0000000000000488 + 1.3302009040511777e-17im
1.000000000000046 - 9.14058196866913e-18im
1.0000000000000466 + 1.299777516360654e-17im
1.0000000000000464 + 1.233511465157049e-17im
