time,Sx{1}_re,Sx{1}_im,Sz{1}_re,Sz{1}_im,iSy{1}_re,iSy{1}_im,Norm_re,Norm_im
0.0,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0
0.01,0.4999593017436905,0.0,9.999746350714938e-6,0.0,0.0,0.004999746344768961,1.0000000000000095,0.0
0.02,0.49983722931810387,0.0,3.999594188222656e-5,0.0,0.0,0.009997971060981313,1.0000000000001226,0.0
0.03,0.4996338497109308,0.0,8.99794591025051e-5,0.0,0.0,0.014993154033577961,1.0000000000001719,0.0
0.04,0.49934927442903576,0.0,0.0001599350951353515,0.0,0.0,0.019983778172749204,1.0000000000002893,0.0
0.05,0.49898365928936855,0.0,0.000249841588369958,0.0,0.0,0.024968330908719936,1.0000000000003788,0.0
0.060000000000000005,0.4985372041281607,0.0,0.00035967163753503626,0.0,0.0,0.029945305682804336,1.000000000000358,0.0
0.07,0.49801015242974056,0.0,0.0004893919310540136,0.0,0.0,0.03491320341328416,1.000000000000368,0.0
0.08,0.49740279087299133,0.0,0.0006389631713466232,0.0,0.0,0.039870533943676754,1.0000000000003593,0.0
0.09,0.4967154487839097,0.0,0.0008083401397306145,0.0,0.0,0.04481581767377426,1.0000000000003824,0.0
0.09999999999999999,0.49594849760044574,0.0,0.0009974717520756893,0.0,0.0,0.04974758620866997,1.000000000000418,0.0
0.10999999999999999,0.4951023500870355,0.0,0.0012063009358532154,0.0,0.0,0.054664384861773906,1.0000000000004265,0.0
0.11999999999999998,0.4941774596812948,0.0,0.001434764963940652,0.0,0.0,0.0595647730244215,1.000000000000427,0.0
0.12999999999999998,0.4931743195966449,0.0,0.0016827953111465746,0.0,0.0,0.06444732606150731,1.0000000000004248,0.0
0.13999999999999999,0.49209346202034193,0.0,0.0019503178837887163,0.0,0.0,0.06931063603001184,1.000000000000427,0.0
0.15,0.4909354571180743,0.0,0.0022372528630477412,0.0,0.0,0.07415331327970309,1.0000000000004527,0.0
0.16,0.4897009120582223,0.0,0.0025435150285965592,0.0,0.0,0.07897398743606472,1.000000000000463,0.0
0.17,0.48839046992903834,0.0,0.002869013609000078,0.0,0.0,0.08377130865398225,1.000000000000459,0.0
