time,Sx{1}_re,Sx{1}_im,Sz{1}_re,Sz{1}_im,iSy{1}_re,iSy{1}_im,N{2}_re,N{2}_im,Norm_re,Norm_im
0.0,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0
0.01,0.499984300717058,0.0,-3.2196493125117957e-15,0.0,0.0,-2.0219260241949265e-15,1.5698760534303975e-5,-6.072935108097686e-25,0.9999999999999934,0.0
0.02,0.4999372128947756,0.0,6.825115017421168e-14,0.0,0.0,-1.9786629296762964e-14,6.277874950888649e-5,-3.6747728698826266e-23,0.999999999999949,0.0
0.03,0.499858766591277,0.0,9.460906721676238e-14,0.0,0.0,-3.554085442305832e-13,0.0001411911313070035,6.915783824907417e-23,0.9999999999999235,0.0
0.04,0.4997490118312569,0.0,4.387363681992301e-13,0.0,0.0,-1.577312717049794e-12,0.00025085465398077595,1.9024942324102542e-22,0.9999999999998984,0.0
0.05,0.4996080184984731,0.0,1.6328842574950264e-12,0.0,0.0,-8.86406591098861e-13,0.0003916558595497778,-8.170813764005224e-23,0.9999999999998666,0.0
0.060000000000000005,0.49943587618470797,0.0,5.979964489083792e-12,0.0,0.0,7.619855550502238e-12,0.0005634493781931307,-6.1114616876903e-22,0.9999999999998416,0.0
0.07,0.49923269399366954,0.0,-3.1967240351126955e-11,0.0,0.0,2.0831676641119238e-11,0.0007660583073845395,-4.966920765591568e-22,0.9999999999998255,0.0
0.08,0.49899860032708326,0.0,-3.1636100260735295e-11,0.0,0.0,3.418544008932994e-11,0.0009992746474710248,3.1912779683282703e-22,0.9999999999998112,0.0
0.09,0.49873374258431663,0.0,-9.893728468868962e-12,0.0,0.0,2.9471405513497445e-11,0.0012628598625773124,3.132430344916719e-21,0.9999999999997918,0.0
0.09999999999999999,0.49843828686529124,0.0,-3.2020183488197518e-12,0.0,0.0,8.412046672299014e-11,0.0015565454742798009,-4.197706487058246e-21,0.9999999999997765,0.0
0.10999999999999999,0.4981124176249924,0.0,3.014799569928464e-11,0.0,0.0,1.0815082665961272e-10,0.0018800337399678484,-4.68440848239708e-21,0.9999999999997566,0.0
0.11999999999999998,0.4977563372741981,0.0,9.606141175479838e-11,0.0,0.0,1.3035984596475314e-10,0.0022329984182737402,-5.757224526875361e-21,0.9999999999997317,0.0
0.12999999999999998,0.49737026577035376,0.0,1.3610695426616304e-10,0.0,0.0,1.7541672782850522e-10,0.0026150855782208194,-1.321511989183692e-20,0.9999999999997129,0.0
0.13999999999999999,0.4969544401428611,0.0,1.987689727438527e-10,0.0,0.0,2.0825877937588003e-10,0.003025914503361394,1.0310900671817029e-20,0.9999999999996926,0.0
0.15,0.4965091140320065,0.0,2.172944548904307e-10,0.0,0.0,2.41453155890416e-10,0.003465078612775096,-1.3152939089213129e-20,0.9999999999996758,0.0
0.16,0.496034557203206,0.0,2.446767380717696e-10,0.0,0.0,2.55863908375396e-10,0.003932146432138449,-4.947400398977257e-21,0.9999999999996566,0.0
0.17,0.4955310549113071,0.0,3.2427749569775843e-10,0.0,0.0,2.958269879602994e-10,0.00442666274062123,-1.1026761716463328e-20,0.9999999999996377,0.0
0.18000000000000002,0.49499890739976427,0.0,4.2851919083465584e-10,0.0,0.0,3.4354383582151614e-10,0.004948149603142648,2.4112530174968366e-20,0.9999999999996273,0.0
0.19000000000000003,0.4944384293270722,0.0,4.997990376599815e-10,0.0,0.0,4.212457185371124e-10,0.0054961074967686575,7.98625215044766e-21,0.9999999999996051,0.0
0.20000000000000004,0.49384994904669294,0.0,7.838863282441655e-10,0.0,0.0,5.584702914419697e-10,0.006070016627288744,-9.209426333435638e-23,0.9999999999995861,0.0
0.21000000000000005,0.4932338082191329,0.0,9.341527020239465e-10,0.0,0.0,5.827764930246664e-10,0.006669337852258009,1.9736789369004342e-20,0.9999999999995707,0.0
0.22000000000000006,0.4925903607842832,0.0,1.1573094776343856e-9,0.0,0.0,6.676353176359416e-10,0.007293514351389587,1.9322688289363562e-20,0.9999999999995508,0.0
0.23000000000000007,0.49191997272830307,0.0,1.386638835438464e-9,0.0,0.0,8.217277826607673e-10,0.007941972469473004,-5.196732017295971e-20,0.9999999999995338,0.0
0.24000000000000007,0.49122302102514265,0.0,1.4568486486621346e-9,0.0,0.0,1.023615393835886e-9,0.008614123371652032,-1.1404664950072137e-20,0.999999999999519,0.0
0.25000000000000006,0.4904998932464668,0.0,1.6219857722557518e-9,0.0,0.0,1.1841935784826646e-9,0.009309364070776545,-5.461951084152532e-20,0.9999999999995091,0.0
0.26000000000000006,0.4897509867078239,0.0,1.6506296238692764e-9,0.0,0.0,1.4603208974093423e-9,0.010027078915277213,-8.191579587053587e-20,0.9999999999994919,0.0
0.2700000000000001,0.48897670775027124,0.0,1.8586708374658534e-9,0.0,0.0,1.5549818234254775e-9,0.01076664092311999,9.728526885671159e-21,0.9999999999994779,0.0
0.2800000000000001,0.4881774712691114,0.0,1.919562393586094e-9,0.0,0.0,1.8578760450655568e-9,0.011527412881596297,9.290964906428502e-20,0.9999999999994701,0.0
0.2900000000000001,0.487353699723494,0.0,1.8980076221634945e-9,0.0,0.0,2.1658385075630157e-9,0.012308748959479221,-1.0037918861949409e-19,0.9999999999994544,0.0
0.3000000000000001,0.4865058226523906,0.0,1.9815225085761945e-9,0.0,0.0,2.373757566160803e-9,0.013109995802811606,-9.775955223614183e-20,0.9999999999994434,0.0
0.3100000000000001,0.48563427579525353,0.0,2.0599941613630435e-9,0.0,0.0,2.6947075562697848e-9,0.013930494022353182,8.853656890033999e-20,0.9999999999994356,0.0
0.3200000000000001,0.4847395004942773,0.0,2.3650426608443076e-9,0.0,0.0,3.072857950080568e-9,0.014769579372595508,-4.8914098727553324e-20,0.9999999999994239,0.0
0.3300000000000001,0.48382194312165594,0.0,2.524063476457006e-9,0.0,0.0,3.3508556825535135e-9,0.01562658391753581,-8.790597104910953e-20,0.9999999999994114,0.0
0.34000000000000014,0.4828820542680136,0.0,2.6979084192385594e-9,0.0,0.0,3.815120393864044e-9,0.016500837384847148,4.7331840339617794e-20,0.9999999999993938,0.0
0.35000000000000014,0.4819202880569545,0.0,3.14862595284654e-9,0.0,0.0,4.046329787725511e-9,0.01739166840233788,-1.7677426644092556e-19,0.9999999999993802,0.0
0.36000000000000015,0.4809371016716332,0.0,3.1237778683190776e-9,0.0,0.0,4.431568574559883e-9,0.018298405518360258,-1.2746254884095853e-19,0.9999999999993664,0.0
0.37000000000000016,0.4799329547091568,0.0,3.294938064578312e-9,0.0,0.0,4.579263975824921e-9,0.019220378307668835,7.650606293361665e-20,0.9999999999993539,0.0
0.38000000000000017,0.4789083083180029,0.0,3.313365671241131e-9,0.0,0.0,4.862038314491779e-9,0.02015691874045293,7.423718144968143e-21,0.9999999999993391,0.0
