time,Sx{1}_re,Sx{1}_im,Sz{1}_re,Sz{1}_im,iSy{1}_re,iSy{1}_im,N{2}_re,N{2}_im,Norm_re,Norm_im
0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.01,-2.088323557430687e-10,0.0,0.4999960000283846,0.0,0.0,-0.001999971610568813,1.7291033385290725e-5,-8.903843725885365e-24,0.9999999999999949,0.0
0.02,-3.340535601675789e-9,0.0,0.49998400045416297,0.0,0.0,-0.003999772906228114,6.914351918486742e-5,4.944200644421154e-23,0.9999999999999563,0.0
0.03,-1.6905306419154902e-8,0.0,0.49996400229904975,0.0,0.0,-0.005999233685762348,0.00015549567203754062,-1.7340641397458654e-22,0.999999999999937,0.0
0.04,-5.339878213689423e-8,0.0,0.4999360072646571,0.0,0.0,-0.007998183987756362,0.0002762447087044916,-2.027835627269421e-22,0.9999999999999201,0.0
0.05,-1.3021756079535224e-7,0.0,0.4999000177332638,0.0,0.0,-0.009996454085302125,0.0004312471363711725,-1.6886562188139657e-21,0.9999999999998836,0.0
0.060000000000000005,-2.69823547201117e-7,0.0,0.49985603675892404,0.0,0.0,-0.011993874976835402,0.0006203191517669787,-2.721103205690501e-21,0.9999999999998683,0.0
0.07,-4.991862951975194e-7,0.0,0.4998040680733266,0.0,0.0,-0.013990277997860985,0.0008432371881520327,1.3010308158933852e-21,0.999999999999862,0.0
0.08,-8.505584130780199e-7,0.0,0.4997441160777521,0.0,0.0,-0.015985495229894134,0.0010997384260261415,5.384971948141961e-21,0.9999999999998632,0.0
0.09,-1.3605327094882708e-6,0.0,0.4996761858640215,0.0,0.0,-0.017979358884191353,0.0013895216052592226,6.1790303902636545e-21,0.9999999999998386,0.0
0.09999999999999999,-2.0701484147406706e-6,0.0,0.499600283175758,0.0,0.0,-0.019971702598962967,0.0017122479054791425,1.0181776175397233e-20,0.9999999999998277,0.0
0.10999999999999999,-3.0256271627731043e-6,0.0,0.4995164143937514,0.0,0.0,-0.0219623615077071,0.002067541784052608,5.419020056843059e-21,0.9999999999998018,0.0
0.11999999999999998,-4.276535696050221e-6,0.0,0.4994245866305332,0.0,0.0,-0.02395117008357058,0.0024549921133895916,-1.5414403758792867e-20,0.9999999999997781,0.0
0.12999999999999998,-5.877376292404977e-6,0.0,0.4993248075960563,0.0,0.0,-0.025937965368677356,0.002874152947745663,2.09859967245811e-24,0.9999999999997586,0.0
0.13999999999999999,-7.886289062394586e-6,0.0,0.499217085638612,0.0,0.0,-0.027922585700020017,0.003324545272876141,4.3752558517917156e-21,0.9999999999997432,0.0
0.15,-1.0366412921746138e-5,0.0,0.49910142974235944,0.0,0.0,-0.029904870753611538,0.0038056580452636335,2.343433070694441e-20,0.9999999999997178,0.0
0.16,-1.3383126984147105e-5,0.0,0.4989778496846029,0.0,0.0,-0.03188465913273648,0.004316949031007302,-5.2922850487677e-20,0.9999999999997011,0.0
