0.9999999999999998 + 0.0im
0.9999999999999998 + 3.463731531429979e-19im
1.0000000000000024 + 3.2920890476783983e-19im
1.0000000000000064 + 2.3576198477943597e-19im
1.0000000000000082 - 8.076871808612294e-19im
1.000000000000007 - 8.510306463370534e-19im
1.0000000000000075 + 9.073960514730821e-19im
1.0000000000000084 - 1.1165541693042353e-18im
1.000000000000007 - 1.6945763074335787e-18im
1.0000000000000067 + 8.938728856259567e-20im
1.0000000000000084 - 8.841625908427758e-19im
1.0000000000000082 + 8.393707752390487e-19im
1.0000000000000075 - 2.7492209736707883e-18im
1.0000000000000053 + 1.7141856433300544e-18im
1.0000000000000058 - 8.241886475587246e-19im
1.0000000000000022 - 1.7736956578078673e-18im
1.0000000000000047 + 6.6532443621630875e-18im
1.000000000000003 + 4.359432501000466e-18im
1.000000000000003 - 5.22577929054245e-19im
1.0000000000000036 + 2.3677203563955587e-18im
1.0000000000000038 - 3.888245543461332e-18im
1.0000000000000053 + 1.3462533707638236e-18im
1.000000000000007 - 6.354743404434693e-18im
1.0000000000000073 - 1.0893027007695918e-18im
1.0000000000000067 + 5.845953364556732e-18im
1.0000000000000084 + 6.335010500613013e-18im
1.00000000000001 + 2.382637979264118e-18im
1.00000000000001 + 3.564106534291515e-18im
1.0000000000000073 - 5.332329391677097e-18im
1.0000000000000067 - 1.419437626073816e-18im
1.0000000000000044 + 4.292176035645547e-18im
1.0000000000000067 - 6.65871284501739e-18im
1.000000000000007 + 1.752125339494796e-19im
1.0000000000000087 - 1.3019552976496889e-17im
1.0000000000000107 - 9.625362349836118e-19im
1.000000000000012 - 6.303977241477078e-18im
1.00000000000001 + 9.8746068597278e-18im
1.0000000000000113 + 9.381081008519556e-18im
1.000000000000011 - 1.0788888249818195e-18im
1.0000000000000133 + 5.159595400732315e-18im
1.0000000000000167 - 3.795879658663977e-20im
1.0000000000000173 - 1.2422018472841511e-17im
1.00000000000002 + 7.557842910440545e-18im
1.0000000000000218 - 8.12461554309035e-18im
1.0000000000000209 + 5.461923039844164e-18im
1.00000000000002 - 1.202666721028559e-17im
1.0000000000000226 - 8.799671016639372e-18im
1.0000000000000218 - 7.126154816033032e-18im
1.000000000000021 + 9.339319552173595e-18im
1.0000000000000207 + 1.2953869420007355e-18im
1.0000000000000202 - 9.384579627044653e-18im
1.0000000000000147 - 1.2960104000708669e-17im
1.0000000000000122 - 3.416706844512918e-18im
1.0000000000000115 + 1.2718960487464028e-17im
1.000000000000015 + 6.90165297967944e-18im
1.000000000000018 + 8.392129260942328e-18im
1.0000000000000169 + 1.1915503289165483e-17im
1.0000000000000178 + 1.329550119482387e-17im
1.0000000000000187 + 7.962139635232277e-18im
1.0000000000000209 + 7.149895644866983e-18im
1.0000000000000233 - 1.3868173218462428e-17im
1.0000000000000226 + 2.318446214648753e-18im
1.0000000000000249 - 9.98149489840889e-18im
1.0000000000000253 + 8.442489485031764e-18im
1.000000000000026 + 2.2836559966755633e-18im
1.000000000000027 + 1.045911235870433e-17im
1.0000000000000302 + 6.399958942606629e-18im
1.0000000000000286 + 4.1199308008966e-18im
1.0000000000000284 - 5.199824781629755e-18im
1.0000000000000278 - 5.654320853628447e-18im
1.0000000000000249 - 5.381754908650862e-18im
1.0000000000000249 - 1.742565095495186e-18im
1.0000000000000264 - 7.065710270471428e-18im
1.0000000000000298 - 7.771960638933683e-18im
1.000000000000029 + 1.3619576667027383e-17im
1.0000000000000306 - 5.014030976232293e-18im
1.000000000000032 - 6.8871151349472354e-18im
1.0000000000000298 - 4.903553417033526e-18im
1.0000000000000298 + 1.423640630793896e-17im
1.0000000000000289 + 3.3343037250261476e-18im
1.0000000000000284 + 1.099766387602273e-17im
1.0000000000000289 - 8.17055794562299e-18im
1.000000000000031 + 3.806314394176904e-18im
1.000000000000033 - 1.2076831169811168e-17im
1.0000000000000344 - 7.442631242565773e-18im
1.0000000000000333 + 4.0525652935998134e-19im
1.0000000000000355 + 7.846399367884153e-18im
1.0000000000000362 + 3.572876939319771e-18im
1.0000000000000357 - 1.2249464125309094e-17im
1.0000000000000324 - 1.4791864524235724e-18im
1.000000000000029 + 5.068229571760685e-18im
1.0000000000000289 + 2.105453219525754e-18im
1.000000000000028 + 4.156309899734792e-18im
1.00000000000003 - 9.809886973307521e-19im
1.0000000000000315 - 8.723841250618656e-18im
1.0000000000000313 - 5.978533123341495e-18im
1.000000000000028 - 1.3118011577443939e-17im
1.0000000000000329 + 5.648706414589889e-18im
1.0000000000000326 - 6.417749395214227e-18im
1.0000000000000306 + 4.4454645340378986e-18im
1.0000000000000266 - 7.75498090067199e-19im
1.0000000000000262 + 1.106850992664625e-17im
1.000000000000027 - 1.1763709851076202e-17im
1.0000000000000244 - 1.1364353560276564e-17im
1.0000000000000238 - 4.003421245586549e-18im
1.0000000000000202 - 5.353021792041386e-18im
1.0000000000000193 + 9.857410774621497e-19im
1.0000000000000178 - 1.6477994961918291e-18im
1.000000000000018 + 1.043314009663373e-17im
1.000000000000015 - 4.225373363746733e-18im
1.000000000000013 + 5.779465227940012e-18im
1.0000000000000147 - 4.425358912517011e-20im
1.0000000000000138 - 1.0584961760890211e-17im
1.0000000000000147 - 8.960187490411968e-18im
1.0000000000000135 - 3.975074050069413e-18im
1.0000000000000133 + 4.660945531543635e-19im
1.0000000000000129 - 8.918823273168873e-18im
1.000000000000011 - 4.03989764860045e-18im
1.0000000000000082 + 3.659024588182271e-18im
1.0000000000000084 - 9.121833181312764e-18im
1.000000000000008 - 5.543457211783831e-18im
1.0000000000000053 - 9.647074523031008e-18im
1.000000000000005 + 2.649858223304675e-18im
1.0000000000000058 - 5.9598735187178235e-18im
1.0000000000000062 - 5.9973613706662034e-18im
1.0000000000000084 + 1.1091265823419095e-17im
1.0000000000000093 - 2.746621656778036e-18im
1.0000000000000109 - 5.6213883052949894e-18im
1.0000000000000164 + 8.581138462136424e-18im
1.0000000000000175 + 5.123282677149907e-18im
1.0000000000000164 - 9.396961084581444e-18im
1.0000000000000155 - 1.1981415036536543e-17im
1.0000000000000138 + 3.755986905630934e-18im
1.0000000000000138 + 8.206781410768777e-18im
1.0000000000000147 + 1.2534691289820688e-17im
1.0000000000000153 - 1.1590858977711407e-17im
1.0000000000000147 + 6.6139361691660096e-18im
1.0000000000000138 - 7.245955183021471e-18im
1.000000000000014 + 7.695011521559355e-18im
1.000000000000012 - 6.988309636597832e-18im
1.0000000000000124 + 7.59382785926962e-18im
1.000000000000007 - 8.764512597803765e-18im
1.000000000000004 - 3.8743511677401196e-18im
1.0000000000000022 + 5.702625966782544e-18im
1.0000000000000038 + 9.210821403396215e-18im
1.0000000000000002 + 1.2927052725937034e-17im
0.9999999999999976 + 1.4797823281723914e-18im
0.9999999999999982 + 1.1261988727548368e-18im
0.9999999999999964 + 2.1034250437347668e-18im
0.9999999999999939 + 1.215294320684519e-17im
0.9999999999999911 + 9.256045563311675e-18im
0.99999999999999 - 1.7768618950537745e-18im
0.9999999999999909 - 2.000624081108206e-18im
0.999999999999994 + 2.095294320427271e-18im
0.999999999999994 + 1.0963141665976634e-17im
0.9999999999999954 - 1.0671388398378914e-18im
0.9999999999999956 + 1.8937886797188108e-19im
0.9999999999999868 + 2.2630504923028667e-18im
0.9999999999999847 - 2.395101905746226e-18im
0.9999999999999845 + 6.667183112408202e-18im
0.9999999999999873 - 6.50196291306218e-18im
0.9999999999999902 - 4.805724988519852e-18im
0.9999999999999896 - 4.2455346531186016e-18im
0.9999999999999916 - 2.9090141675885664e-18im
0.999999999999994 - 2.675720569089714e-18im
0.999999999999997 + 3.1510081160603934e-18im
0.9999999999999967 - 2.5980295528984938e-18im
0.9999999999999961 - 1.7198527891455052e-18im
0.9999999999999933 + 5.083939793878884e-18im
0.9999999999999896 - 5.8902008291499264e-18im
0.9999999999999942 - 3.197132076082258e-18im
0.9999999999999941 + 6.085057666945323e-18im
0.9999999999999913 - 3.750503205741631e-18im
0.9999999999999911 + 3.2659736716607518e-18im
0.9999999999999926 + 1.3780008643940458e-18im
0.9999999999999916 - 3.145208441985474e-18im
0.9999999999999889 - 2.1655386847312724e-18im
0.9999999999999849 + 5.731242159555899e-19im
0.9999999999999811 - 3.4153432882108183e-19im
0.9999999999999776 + 1.6446600095100264e-18im
0.9999999999999762 + 2.8905323106303637e-18im
0.9999999999999757 + 1.0434358120945206e-18im
0.9999999999999747 - 2.2235213325246343e-19im
0.9999999999999774 - 5.492419571669911e-19im
0.9999999999999782 - 4.0091729571697716e-19im
0.9999999999999762 + 6.007524569949522e-19im
0.9999999999999759 - 5.073627205699637e-19im
0.9999999999999714 - 1.1216577509326185e-19im
0.9999999999999717 - 1.2590188476628777e-22im
0.9999999999999716 - 1.9675355103295668e-19im
0.9999999999999739 - 2.7792234642021174e-19im
0.9999999999999711 + 7.986386153133044e-19im
0.9999999999999702 + 4.714858742988676e-19im
0.9999999999999707 + 1.6659130925323876e-18im
0.9999999999999654 + 1.4341049263171309e-18im
0.9999999999999585 - 1.5971756174352738e-18im
0.9999999999999565 + 1.180159777869231e-18im
0.9999999999999528 + 1.3333004104590143e-18im
0.999999999999954 + 1.024686458155558e-18im
0.9999999999999593 - 2.3073139078262926e-18im
0.9999999999999609 + 6.465330789342275e-20im
0.99999999999996 + 2.6888657875603595e-18im
0.9999999999999607 + 4.3548237400130377e-20im
0.9999999999999597 + 1.0722749400875409e-18im
0.9999999999999549 - 1.4237700748380823e-19im
0.9999999999999496 - 2.237475429315749e-18im
0.9999999999999514 - 3.1535799867802575e-18im
0.999999999999954 - 6.7213816299031105e-18im
0.9999999999999544 - 1.6169910700231475e-18im
0.9999999999999547 - 2.626317070254426e-19im
0.9999999999999559 - 4.954609191790987e-18im
0.9999999999999588 - 1.096989490247079e-18im
0.9999999999999591 - 2.1803189455489705e-19im
0.9999999999999625 + 4.19863695355857e-18im
0.9999999999999634 - 6.032995776332925e-19im
0.9999999999999614 + 3.206422878350136e-18im
0.9999999999999598 - 5.14311686553453e-18im
0.9999999999999574 + 5.147600280604457e-18im
0.9999999999999551 - 1.8334923803052336e-18im
0.9999999999999545 - 5.2688685725658376e-18im
0.9999999999999538 + 3.3637036681346512e-18im
0.9999999999999531 - 4.035968362379223e-18im
0.9999999999999531 + 1.1364084321157377e-17im
0.9999999999999529 - 2.118022448524122e-18im
0.99999999999995 - 1.037251167241231e-17im
0.9999999999999472 - 1.3509288383424471e-17im
0.9999999999999513 + 6.927483662351863e-18im
0.9999999999999496 + 1.3439715251821501e-17im
0.9999999999999498 - 4.84157921034743e-18im
0.9999999999999486 + 3.4774572684443875e-18im
0.9999999999999517 + 4.044046623241062e-18im
0.9999999999999533 - 7.559113947925847e-18im
0.99999999999995 - 2.6073288412006925e-18im
0.9999999999999476 + 6.375594127132352e-18im
0.9999999999999523 - 3.2724464667379527e-18im
0.9999999999999515 + 8.049707175847846e-18im
0.9999999999999494 + 1.2900005594548907e-17im
0.9999999999999478 - 7.42562338757197e-18im
0.9999999999999434 - 9.427711491056731e-18im
0.9999999999999389 + 2.7315299959128636e-18im
0.9999999999999458 + 8.227679646392338e-18im
0.9999999999999432 + 1.2790529387387747e-17im
0.9999999999999452 - 1.0236528167209666e-17im
0.9999999999999429 + 8.690274051049053e-18im
0.9999999999999395 + 7.67030203037357e-19im
0.9999999999999374 - 5.7160772239167524e-18im
0.9999999999999399 - 1.1209925589803972e-17im
0.9999999999999389 + 9.202956298242377e-18im
0.99999999999994 + 2.511618897008891e-18im
0.9999999999999423 - 3.071720135134424e-18im
0.9999999999999467 + 1.6524108728999965e-18im
0.9999999999999447 - 1.173481554589767e-17im
0.9999999999999469 + 1.0868036199061647e-17im
0.9999999999999507 - 9.177791093144568e-18im
0.9999999999999564 - 9.972477687600013e-18im
0.9999999999999643 + 1.1234967205932737e-17im
0.9999999999999705 - 9.703274067270246e-18im
0.999999999999976 + 1.16302141284361e-17im
0.9999999999999781 - 7.298221301099528e-18im
0.9999999999999789 + 6.051143341984743e-19im
0.999999999999982 - 1.3668067002712999e-17im
0.9999999999999841 - 1.4840439465338914e-17im
0.9999999999999857 - 2.5366683108968645e-17im
0.9999999999999888 + 1.3805150320265982e-17im
0.9999999999999951 - 1.9785301321494222e-17im
1.0000000000000016 - 1.5931838471416803e-17im
0.9999999999999984 + 1.124074472065289e-17im
1.0000000000000027 + 2.9423399594841935e-18im
1.0000000000000056 + 9.029634337360371e-18im
1.0000000000000002 - 1.8441421739605347e-18im
0.999999999999994 - 1.9979076740426622e-17im
0.9999999999999973 - 8.073816096899306e-18im
1.0000000000000013 + 1.7985755597192257e-19im
0.9999999999999976 + 1.4132008232610932e-17im
1.0000000000000007 - 7.316741564482114e-18im
0.9999999999999936 + 1.286422645998165e-17im
0.999999999999985 + 7.186204877364887e-18im
0.9999999999999825 + 9.415837348368995e-18im
0.9999999999999805 - 1.1300211557666246e-17im
0.9999999999999751 + 1.9511451589391892e-17im
0.9999999999999696 + 1.568649060637932e-17im
0.9999999999999625 - 8.563634026118496e-18im
0.9999999999999565 - 6.76335673693003e-18im
0.9999999999999518 + 2.7999390157504914e-18im
0.9999999999999494 - 1.520305610521386e-17im
0.9999999999999454 + 2.5571506950755855e-17im
0.9999999999999406 + 2.4291406293982196e-17im
0.9999999999999376 - 1.551328624660399e-17im
0.9999999999999365 - 2.7492056267466888e-17im
0.9999999999999375 - 2.1274621870053434e-17im
0.9999999999999405 - 1.9217667674383788e-17im
0.9999999999999367 - 1.6164390378522677e-17im
0.9999999999999287 + 2.5063319981027067e-17im
0.9999999999999217 + 3.075016398669321e-18im
0.9999999999999194 - 2.166489255572885e-17im
0.9999999999999107 + 2.7315109099047046e-17im
0.9999999999999039 - 1.7374842992572446e-17im
0.9999999999999001 + 2.616992532812038e-17im
0.9999999999998966 - 2.7384470878852835e-17im
0.999999999999893 + 2.1552605664680328e-17im
0.9999999999998959 - 1.085206929552696e-17im
0.9999999999998901 + 2.122003714284759e-17im
0.9999999999998845 + 2.3464608905875145e-17im
0.999999999999891 + 1.1180166545946492e-17im
0.999999999999884 - 1.602450008861011e-17im
0.999999999999884 + 5.784632760834181e-18im
0.9999999999998839 + 2.1659134625756688e-17im
0.9999999999998832 + 3.0868080270900944e-18im
0.9999999999998852 - 9.519239688776873e-18im
0.9999999999998848 + 1.5980103799500778e-17im
0.9999999999998764 - 1.3668947579836172e-18im
0.999999999999865 - 3.512486971496974e-18im
0.9999999999998641 - 1.0420928431038976e-17im
0.9999999999998598 - 1.7684164802702273e-17im
0.9999999999998521 - 2.0212151791568952e-17im
0.9999999999998431 - 9.518118895532075e-18im
0.9999999999998377 + 1.4316987012615917e-17im
0.9999999999998308 + 1.3559709034939457e-17im
0.9999999999998275 + 1.1889844318358236e-17im
0.9999999999998217 - 2.378947751110622e-17im
0.9999999999998177 + 5.012432689647738e-18im
0.9999999999998168 + 1.8283538873418563e-17im
0.9999999999998173 - 2.6034184538332383e-17im
0.9999999999998146 + 1.723638072321226e-17im
0.9999999999998102 - 1.7271504673148295e-17im
0.999999999999803 - 6.465928223281386e-18im
0.9999999999998077 + 2.0501644008673842e-17im
0.9999999999998054 - 2.1100167703257695e-17im
0.9999999999998065 + 1.3407452960957039e-17im
0.9999999999997993 - 1.8833770783299104e-17im
0.999999999999799 + 6.7487432169968564e-18im
0.9999999999997993 + 1.6898542647858133e-17im
