time,Sx{1}_re,Sx{1}_im,Sz{1}_re,Sz{1}_im,iSy{1}_re,iSy{1}_im,Norm_re,Norm_im
0.0,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0
0.005,0.499941165355336,0.0,-2.2205307525450385e-16,0.0,0.0,-7.44293144708274e-18,1.0,0.0
0.01,0.499764792520369,0.0,-5.93962135335066e-14,0.0,0.0,1.5987457024750368e-13,0.9999999999999867,0.0
0.015,0.4994712739704151,0.0,-7.646120526007619e-11,0.0,0.0,-1.085715975826675e-10,0.9999999999999934,0.0
0.02,0.49906126099585213,0.0,-1.690240431612925e-9,0.0,0.0,1.9926361305956587e-10,0.9999999999999938,0.0
0.025,0.4985356600314424,0.0,-1.749852099320031e-9,0.0,0.0,-2.3384559994779272e-11,0.999999999999989,0.0
0.030000000000000002,0.49789562650315133,0.0,-2.768900848946869e-9,0.0,0.0,-8.240333245672447e-10,0.9999999999999841,0.0
0.035,0.49714255811024816,0.0,-3.604483579016174e-9,0.0,0.0,-1.4046573686100558e-9,0.9999999999999836,0.0
0.04,0.4962780859752817,0.0,-3.3356741573542167e-9,0.0,0.0,-2.1628778791029594e-9,0.999999999999979,0.0
0.045,0.49530406501194224,0.0,-2.23688911013889e-9,0.0,0.0,-1.921289544424892e-9,0.9999999999999774,0.0
0.049999999999999996,0.4942225625101102,0.0,-6.612948010367714e-10,0.0,0.0,-2.4556577099728045e-9,0.9999999999999687,0.0
0.05499999999999999,0.49303584609958495,0.0,-5.917959750717516e-10,0.0,0.0,-2.544207539849179e-9,0.999999999999968,0.0
0.05999999999999999,0.49174636995365895,0.0,-8.66943822286359e-10,0.0,0.0,-2.7356333640970835e-9,0.9999999999999629,0.0
0.06499999999999999,0.49035676099985176,0.0,-1.2390450544914888e-9,0.0,0.0,-2.8926255990643045e-9,0.99999999999996,0.0
0.06999999999999999,0.48886980370933264,0.0,-1.7241691130376324e-9,0.0,0.0,-2.898848407411475e-9,0.9999999999999567,0.0
0.075,0.48728842448037407,0.0,-3.3327012430132974e-9,0.0,0.0,-2.74795530622908e-9,0.9999999999999544,0.0
0.08,0.4856156754855989,0.0,-4.618418932011981e-9,0.0,0.0,-2.5373369833166237e-9,0.9999999999999526,0.0
0.085,0.48385471810572683,0.0,-7.0745430702859324e-9,0.0,0.0,-2.1622816135258988e-9,0.99999999999995,0.0
0.09000000000000001,0.48200880701078,0.0,-9.494216168456915e-9,0.0,0.0,-1.5589614399749707e-9,0.9999999999999476,0.0
0.09500000000000001,0.4800812720228737,0.0,-1.0554950612313985e-8,0.0,0.0,-6.371460973837034e-10,0.9999999999999455,0.0
0.10000000000000002,0.47807550333508586,0.0,-9.870737545901453e-9,0.0,0.0,-5.537988845717018e-10,0.9999999999999407,0.0
0.10500000000000002,0.4759949332449948,0.0,-1.1559289757150093e-8,0.0,0.0,2.0167647875064115e-9,0.9999999999999362,0.0
0.11000000000000003,0.4738430208504572,0.0,-1.2509475055648422e-8,0.0,0.0,4.061783470763608e-9,0.9999999999999346,0.0
0.11500000000000003,0.47162323602732625,0.0,-1.329645603516394e-8,0.0,0.0,4.2299110251768635e-9,0.9999999999999326,0.0
0.12000000000000004,0.4693390439066138,0.0,-1.3103351696221177e-8,0.0,0.0,4.2062656517571906e-9,0.9999999999999333,0.0
0.12500000000000003,0.4669938906845841,0.0,-1.264985693104348e-8,0.0,0.0,4.6369763979058065e-9,0.9999999999999356,0.0
0.13000000000000003,0.464591189907376,0.0,-1.2100062302816683e-8,0.0,0.0,3.1800447956344124e-9,0.9999999999999322,0.0
0.13500000000000004,0.46213430921614884,0.0,-1.2649581663387588e-8,0.0,0.0,2.051448575249304e-9,0.9999999999999293,0.0
0.14000000000000004,0.4596265580155514,0.0,-1.34171204528577e-8,0.0,0.0,8.962717746793802e-10,0.9999999999999278,0.0
0.14500000000000005,0.4570711763112225,0.0,-1.3897635755752424e-8,0.0,0.0,-1.0883440277470458e-9,0.9999999999999258,0.0
0.15000000000000005,0.45447132405992235,0.0,-1.5226427488648775e-8,0.0,0.0,-3.784369764607554e-9,0.9999999999999268,0.0
0.15500000000000005,0.4518300727697236,0.0,-1.577668669143495e-8,0.0,0.0,-4.7670437562652435e-9,0.9999999999999224,0.0
0.16000000000000006,0.4491503956202544,0.0,-1.599017432699079e-8,0.0,0.0,-6.147211522797291e-9,0.9999999999999185,0.0
0.16500000000000006,0.4464351613282909,0.0,-1.62691821299632e-8,0.0,0.0,-7.840149002236174e-9,0.9999999999999176,0.0
0.17000000000000007,0.44368712751113093,0.0,-1.667926388324026e-8,0.0,0.0,-9.380424470170623e-9,0.9999999999999158,0.0
0.17500000000000007,0.4409089355716429,0.0,-1.688578334796409e-8,0.0,0.0,-1.0711826261937396e-8,0.9999999999999141,0.0
0.18000000000000008,0.4381031061994373,0.0,-1.7161710887461656e-8,0.0,0.0,-1.2202669838999591e-8,0.9999999999999133,0.0
0.18500000000000008,0.43527203624609606,0.0,-1.7353648192053317e-8,0.0,0.0,-1.3911214423456553e-8,0.9999999999999142,0.0
0.19000000000000009,0.4324179966403677,0.0,-1.750954895657353e-8,0.0,0.0,-1.5548557367843496e-8,0.9999999999999105,0.0
0.1950000000000001,0.42954313082306067,0.0,-1.7418492023746346e-8,0.0,0.0,-1.7021454731813712e-8,0.9999999999999131,0.0
0.2000000000000001,0.42664945426964707,0.0,-1.7196605507641127e-8,0.0,0.0,-1.8674959817270576e-8,0.999999999999912,0.0
0.2050000000000001,0.42373885545815865,0.0,-1.711898933026701e-8,0.0,0.0,-2.0393689782044477e-8,0.9999999999999047,0.0
0.2100000000000001,0.4208130964578147,0.0,-1.6897330798459897e-8,0.0,0.0,-2.1718673240932185e-8,0.9999999999999059,0.0
0.2150000000000001,0.41787381492611414,0.0,-1.6542301348176913e-8,0.0,0.0,-2.2858791390995004e-8,0.9999999999999071,0.0
0.2200000000000001,0.4149225270739873,0.0,-1.7060073669722398e-8,0.0,0.0,-2.33292290069409e-8,0.9999999999999051,0.0
0.22500000000000012,0.41196063103896213,0.0,-1.7133997561036285e-8,0.0,0.0,-2.3903178139952908e-8,0.9999999999999054,0.0
0.23000000000000012,0.4089894104627071,0.0,-1.712582747490088e-8,0.0,0.0,-2.4521161615977116e-8,0.9999999999999063,0.0
0.23500000000000013,0.40601003919866924,0.0,-1.7038780813355414e-8,0.0,0.0,-2.5151472030082722e-8,0.9999999999999105,0.0
0.24000000000000013,0.40302358601109584,0.0,-1.7036338614134783e-8,0.0,0.0,-2.5800550036703118e-8,0.999999999999914,0.0
0.24500000000000013,0.40003102001965657,0.0,-1.723654058718993e-8,0.0,0.0,-2.6498536661798133e-8,0.9999999999999133,0.0
0.2500000000000001,0.3970332162007762,0.0,-1.7664411967877047e-8,0.0,0.0,-2.720202457902332e-8,0.9999999999999131,0.0
0.2550000000000001,0.39403096126157267,0.0,-1.799722808976112e-8,0.0,0.0,-2.778810833953954e-8,0.9999999999999147,0.0
0.2600000000000001,0.391024959733243,0.0,-1.8075388737853748e-8,0.0,0.0,-2.8321149587832994e-8,0.9999999999999102,0.0
0.2650000000000001,0.38801584025445757,0.0,-1.8086633846864375e-8,0.0,0.0,-2.8909829555452682e-8,0.999999999999917,0.0
0.27000000000000013,0.3850041621722565,0.0,-1.7926247465605005e-8,0.0,0.0,-2.9425517898175324e-8,0.9999999999999158,0.0
0.27500000000000013,0.3819904216791194,0.0,-1.765842763679082e-8,0.0,0.0,-2.9719521374253766e-8,0.9999999999999114,0.0
0.28000000000000014,0.3789750584431042,0.0,-1.7332301528033556e-8,0.0,0.0,-2.980219627329861e-8,0.9999999999999158,0.0
0.28500000000000014,0.3759584619932623,0.0,-1.6623669316095935e-8,0.0,0.0,-3.003178727142147e-8,0.9999999999999096,0.0
0.29000000000000015,0.3729409779029296,0.0,-1.6006115051425684e-8,0.0,0.0,-3.009697666350036e-8,0.9999999999999087,0.0
0.29500000000000015,0.36992291404665556,0.0,-1.5480822228297608e-8,0.0,0.0,-2.9954219543139315e-8,0.9999999999999113,0.0
0.30000000000000016,0.3669045465555661,0.0,-1.504247417599691e-8,0.0,0.0,-2.9694608132645184e-8,0.9999999999999101,0.0
0.30500000000000016,0.3638861255076401,0.0,-1.4780507991141167e-8,0.0,0.0,-2.952296734078791e-8,0.9999999999999141,0.0
0.31000000000000016,0.3608678804976188,0.0,-1.4692762367873868e-8,0.0,0.0,-2.945414839979066e-8,0.9999999999999154,0.0
0.31500000000000017,0.3578500256165171,0.0,-1.4677539746099644e-8,0.0,0.0,-2.9477114230416768e-8,0.9999999999999111,0.0
0.3200000000000002,0.35483276440130035,0.0,-1.4714663799930694e-8,0.0,0.0,-2.96566042478838e-8,0.9999999999999073,0.0
0.3250000000000002,0.3518162946831357,0.0,-1.4726145490528975e-8,0.0,0.0,-3.000681058316912e-8,0.999999999999908,0.0
0.3300000000000002,0.34880081260349466,0.0,-1.477648606251769e-8,0.0,0.0,-3.039594991417066e-8,0.9999999999999057,0.0
0.3350000000000002,0.34578651628571,0.0,-1.4937711956264366e-8,0.0,0.0,-3.060757335603126e-8,0.9999999999999066,0.0
0.3400000000000002,0.3427736092654603,0.0,-1.524344837161573e-8,0.0,0.0,-3.048568763749926e-8,0.9999999999999083,0.0
0.3450000000000002,0.33976230356764897,0.0,-1.5604927294798898e-8,0.0,0.0,-3.004615989950915e-8,0.9999999999999022,0.0
0.3500000000000002,0.33675282281685315,0.0,-1.601564762754304e-8,0.0,0.0,-2.9248324350146515e-8,0.9999999999999007,0.0
0.3550000000000002,0.3337454040226483,0.0,-1.6307456301989376e-8,0.0,0.0,-2.825972493340767e-8,0.9999999999999036,0.0
0.3600000000000002,0.3307402993716417,0.0,-1.634983904513776e-8,0.0,0.0,-2.7281380680574396e-8,0.9999999999999002,0.0
0.3650000000000002,0.32773777773825336,0.0,-1.630052217510558e-8,0.0,0.0,-2.6509729022204664e-8,0.9999999999999012,0.0
0.3700000000000002,0.3247381257203015,0.0,-1.6408860083194643e-8,0.0,0.0,-2.6066006678614195e-8,0.9999999999998982,0.0
0.3750000000000002,0.321741648394961,0.0,-1.6733563437676402e-8,0.0,0.0,-2.599654427056647e-8,0.9999999999998903,0.0
0.3800000000000002,0.3187486695672627,0.0,-1.732182321190212e-8,0.0,0.0,-2.6182287869887244e-8,0.9999999999998865,0.0
0.38500000000000023,0.31575953185436495,0.0,-1.8069397776654395e-8,0.0,0.0,-2.6479538463818064e-8,0.9999999999998892,0.0
0.39000000000000024,0.3127745963204497,0.0,-1.877730154697943e-8,0.0,0.0,-2.6946242061461068e-8,0.9999999999998935,0.0
0.39500000000000024,0.30979424182899573,0.0,-1.9291818469102662e-8,0.0,0.0,-2.759751858809334e-8,0.9999999999998886,0.0
0.40000000000000024,0.30681886419733306,0.0,-1.948685249969495e-8,0.0,0.0,-2.8167270424081514e-8,0.9999999999998895,0.0
0.40500000000000025,0.30384887472392347,0.0,-1.9669117834464345e-8,0.0,0.0,-2.8527156462586356e-8,0.9999999999998903,0.0
0.41000000000000025,0.3008846991785971,0.0,-1.9845202564594544e-8,0.0,0.0,-2.8846531933100772e-8,0.9999999999998913,0.0
0.41500000000000026,0.29792677608811813,0.0,-1.994465986809857e-8,0.0,0.0,-2.906029473916799e-8,0.9999999999998913,0.0
0.42000000000000026,0.2949755548996747,0.0,-1.9975715671860517e-8,0.0,0.0,-2.910423369060361e-8,0.9999999999998885,0.0
0.42500000000000027,0.2920314941877791,0.0,-1.9910676600509714e-8,0.0,0.0,-2.900856577257166e-8,0.9999999999998921,0.0
0.43000000000000027,0.2890950596346669,0.0,-1.972054647358945e-8,0.0,0.0,-2.8837271029424905e-8,0.9999999999998875,0.0
0.4350000000000003,0.28616672183495756,0.0,-1.956708021305653e-8,0.0,0.0,-2.8713905936110506e-8,0.9999999999998886,0.0
0.4400000000000003,0.28324695412687323,0.0,-1.95711237771512e-8,0.0,0.0,-2.8610710244101473e-8,0.9999999999998882,0.0
0.4450000000000003,0.28033623064072094,0.0,-1.962958411788618e-8,0.0,0.0,-2.840180662573924e-8,0.9999999999998862,0.0
0.4500000000000003,0.27743502379767415,0.0,-1.969698671527853e-8,0.0,0.0,-2.803866973105293e-8,0.9999999999998869,0.0
0.4550000000000003,0.27454380220002333,0.0,-1.976361861666387e-8,0.0,0.0,-2.748039161287394e-8,0.9999999999998885,0.0
0.4600000000000003,0.2716630284990681,0.0,-1.982743844108903e-8,0.0,0.0,-2.6704946878407937e-8,0.9999999999998839,0.0
0.4650000000000003,0.2687931573097937,0.0,-1.9880263463223358e-8,0.0,0.0,-2.5706377638524958e-8,0.9999999999998858,0.0
0.4700000000000003,0.2659346331796474,0.0,-1.9965887193551524e-8,0.0,0.0,-2.447295728872853e-8,0.9999999999998852,0.0
0.4750000000000003,0.26308788863384197,0.0,-2.008273139453287e-8,0.0,0.0,-2.296152557803785e-8,0.9999999999998838,0.0
0.4800000000000003,0.26025334235515146,0.0,-2.0286401253288844e-8,0.0,0.0,-2.1173844943871145e-8,0.9999999999998888,0.0
0.4850000000000003,0.25743139756414446,0.0,-2.0378362060313737e-8,0.0,0.0,-1.9563652980166685e-8,0.999999999999891,0.0
0.4900000000000003,0.25462244034854975,0.0,-2.0602470902908454e-8,0.0,0.0,-1.7674059458582664e-8,0.9999999999998919,0.0
0.49500000000000033,0.2518268384358397,0.0,-2.1291910470844222e-8,0.0,0.0,-1.5411214040160492e-8,0.9999999999998912,0.0
0.5000000000000003,0.2490449398707164,0.0,-2.196706019863548e-8,0.0,0.0,-1.3012542686170053e-8,0.9999999999998954,0.0
0.5050000000000003,0.24627707184535202,0.0,-2.247613768713297e-8,0.0,0.0,-1.0587638746631378e-8,0.9999999999998961,0.0
0.5100000000000003,0.2435235397811959,0.0,-2.2878277383675538e-8,0.0,0.0,-8.16074765533012e-9,0.9999999999998845,0.0
0.5150000000000003,0.24078462670141956,0.0,-2.3206320934332503e-8,0.0,0.0,-5.752709592108524e-9,0.9999999999998832,0.0
0.5200000000000004,0.23806059265957139,0.0,-2.3501785684221232e-8,0.0,0.0,-3.355954991332566e-9,0.9999999999998819,0.0
0.5250000000000004,0.2353516741661412,0.0,-2.3802968360242538e-8,0.0,0.0,-1.000076023296298e-9,0.9999999999998858,0.0
0.5300000000000004,0.23265808403550153,0.0,-2.410490945736754e-8,0.0,0.0,1.3127965598283553e-9,0.9999999999998835,0.0
0.5350000000000004,0.22998001132948637,0.0,-2.438185191244724e-8,0.0,0.0,3.5830045935422716e-9,0.9999999999998785,0.0
0.5400000000000004,0.22731762148153323,0.0,-2.461677441056853e-8,0.0,0.0,5.806376516311745e-9,0.9999999999998797,0.0
0.5450000000000004,0.2246710565004864,0.0,-2.4792274885832022e-8,0.0,0.0,7.974376808189687e-9,0.9999999999998799,0.0
0.5500000000000004,0.22204043530869388,0.0,-2.4907845980193244e-8,0.0,0.0,1.007865835060684e-8,0.9999999999998829,0.0
0.5550000000000004,0.21942585425890937,0.0,-2.499453805038243e-8,0.0,0.0,1.2111937639685058e-8,0.9999999999998836,0.0
0.5600000000000004,0.21682738783137057,0.0,-2.5084186311419288e-8,0.0,0.0,1.408153246632883e-8,0.9999999999998813,0.0
0.5650000000000004,0.2142450894052978,0.0,-2.5190857733115024e-8,0.0,0.0,1.5999975217992346e-8,0.9999999999998812,0.0
0.5700000000000004,0.21167899214664382,0.0,-2.532077958417034e-8,0.0,0.0,1.7875692249775393e-8,0.9999999999998757,0.0
0.5750000000000004,0.20912910999926335,0.0,-2.5472335782317224e-8,0.0,0.0,1.970485009081084e-8,0.9999999999998755,0.0
0.5800000000000004,0.2065954387563747,0.0,-2.580375053906625e-8,0.0,0.0,2.158597022460483e-8,0.9999999999998758,0.0
0.5850000000000004,0.20407795718354355,0.0,-2.626648210046767e-8,0.0,0.0,2.3539010154905934e-8,0.9999999999998742,0.0
0.5900000000000004,0.20157662828671905,0.0,-2.6678407552549466e-8,0.0,0.0,2.5470912652040406e-8,0.9999999999998745,0.0
0.5950000000000004,0.19909140054354624,0.0,-2.7009678979506013e-8,0.0,0.0,2.7352460869834935e-8,0.9999999999998727,0.0
0.6000000000000004,0.19662220921470802,0.0,-2.723987309327658e-8,0.0,0.0,2.9141644708680428e-8,0.9999999999998725,0.0
0.6050000000000004,0.19416897769617084,0.0,-2.739570739707098e-8,0.0,0.0,3.0802994576252865e-8,0.9999999999998754,0.0
0.6100000000000004,0.19173161888783805,0.0,-2.750667242590321e-8,0.0,0.0,3.233384919206807e-8,0.999999999999873,0.0
0.6150000000000004,0.1893100365620991,0.0,-2.75950812061998e-8,0.0,0.0,3.373861525964375e-8,0.9999999999998721,0.0
0.6200000000000004,0.1869041267161351,0.0,-2.7674418132117573e-8,0.0,0.0,3.502157824083075e-8,0.9999999999998701,0.0
0.6250000000000004,0.18451377893535675,0.0,-2.77413935712012e-8,0.0,0.0,3.618615185090306e-8,0.9999999999998684,0.0
0.6300000000000004,0.18213887769912956,0.0,-2.77949408489242e-8,0.0,0.0,3.723463382022604e-8,0.9999999999998692,0.0
0.6350000000000005,0.17977930367500072,0.0,-2.7835234089890193e-8,0.0,0.0,3.8172431397125e-8,0.9999999999998714,0.0
0.6400000000000005,0.17743493496342028,0.0,-2.786637558205296e-8,0.0,0.0,3.9008981991708967e-8,0.999999999999874,0.0
0.6450000000000005,0.17510564829917846,0.0,-2.7896201862387393e-8,0.0,0.0,3.975747450284421e-8,0.9999999999998711,0.0
0.6500000000000005,0.1727913201979054,0.0,-2.7932463050883705e-8,0.0,0.0,4.0433662391241125e-8,0.99999999999987,0.0
0.6550000000000005,0.17049182803122143,0.0,-2.7981673950128183e-8,0.0,0.0,4.105378549024391e-8,0.9999999999998684,0.0
0.6600000000000005,0.16820705100936034,0.0,-2.8054566628132882e-8,0.0,0.0,4.163667466266564e-8,0.9999999999998707,0.0
0.6650000000000005,0.16593687110553187,0.0,-2.8155219614078852e-8,0.0,0.0,4.2196704184303466e-8,0.9999999999998749,0.0
0.6700000000000005,0.16368117388793957,0.0,-2.8288743084137202e-8,0.0,0.0,4.2746330736931115e-8,0.9999999999998757,0.0
0.6750000000000005,0.1614398492887545,0.0,-2.8457085105015878e-8,0.0,0.0,4.329363836237687e-8,0.9999999999998764,0.0
0.6800000000000005,0.15921279227133212,0.0,-2.866217288510775e-8,0.0,0.0,4.384594867506888e-8,0.9999999999998771,0.0
0.6850000000000005,0.1569999034184808,0.0,-2.8902903986827155e-8,0.0,0.0,4.440887083962579e-8,0.9999999999998772,0.0
0.6900000000000005,0.15480108942308116,0.0,-2.9175919083468393e-8,0.0,0.0,4.498723440505333e-8,0.9999999999998804,0.0
0.6950000000000005,0.15261626349074667,0.0,-2.947736763014852e-8,0.0,0.0,4.558529329224325e-8,0.9999999999998765,0.0
